model,feature,mean_perm_abs_error,mean_perm_deviance,shapley_share,n_snapshots
LINREG,BUSLOANS,0.014425625682982002,0.0691393961483544,0.039206525099064714,416
LINREG,CPIAUCSL,0.0002960653309672656,0.028803658810873323,0.020986405646158557,416
LINREG,DPCERA3M086SBEA,0.005700361748727123,0.058746550024673105,0.10928943173019032,416
LINREG,INDPRO,0.04442557672352543,0.1101448483261751,0.09484289579501096,416
LINREG,M2SL,0.0005517486544011074,0.006981719936204556,0.014229697324601895,416
LINREG,OILPRICEX,0.0035418042820452023,0.01899471837575728,0.04198196656198587,416
LINREG,RPI,0.004644216608870377,0.05200850865806217,0.037456387840933095,416
LINREG,SP500,0.05574709031169944,0.1686373023755534,0.22171383745544945,416
LINREG,TB3MS,-0.016585075415698536,-0.029257255147607353,0.06473657215907234,416
LINREG,UNRATE_lag12,-0.035407135170774096,-0.16850590104778096,0.28601008679944034,416
LINREG,USREC,-0.025923515457838442,-0.09380818849799244,0.06954619358809228,416
