date,true,AR1,ARp,LR,RIDGE
1963-12-01,0.0,0.0704727422342375,0.0704727422342375,,
1964-01-01,-0.1000000000000005,0.017682369728788,0.017682369728788,,
1964-02-01,-0.5,0.0907218375673633,0.0907218375673633,,
1964-03-01,-0.2999999999999998,0.1656809599242932,0.1656809599242932,,
1964-04-01,-0.4000000000000003,0.091963077224533,0.091963077224533,,
1964-05-01,-0.8000000000000007,0.1597092043328591,0.1597092043328591,,
1964-06-01,-0.3999999999999994,0.1902176874755763,0.1902176874755763,,
1964-07-01,-0.6999999999999993,0.1120915055846235,0.1120915055846235,,
1964-08-01,-0.4000000000000003,0.1297780056743587,0.1297780056743587,,
1964-09-01,-0.4000000000000003,0.0759401992588182,0.0759401992588182,,
1964-10-01,-0.4000000000000003,0.117251241079869,0.117251241079869,,
1964-11-01,-0.9000000000000004,0.1239693277808448,0.1239693277808448,,
1964-12-01,-0.5,0.1022721478757677,0.1022721478757677,,
1965-01-01,-0.6999999999999993,0.0900580289511337,0.0900580289511337,,
1965-02-01,-0.3000000000000007,0.0828462133473426,0.0828462133473426,,
1965-03-01,-0.7000000000000002,0.0446183989358308,0.0446183989358308,,
1965-04-01,-0.5,0.0669010621098551,0.0669010621098551,,
1965-05-01,-0.5,0.0253166729699408,0.0253166729699408,,
1965-06-01,-0.6000000000000005,0.0525805680503953,0.0525805680503953,,
1965-07-01,-0.5,0.0122080825611717,0.0122080825611717,,
1965-08-01,-0.5999999999999996,-0.0030163899546008,-0.0030163899546008,,
1965-09-01,-0.7999999999999998,-0.0044418056163315,-0.0044418056163315,,
1965-10-01,-0.8999999999999995,-0.0174128144312773,-0.0174128144312773,,
1965-11-01,-0.7000000000000002,-0.0088038708765264,-0.0088038708765264,,
1965-12-01,-1.0,-0.0476784625000115,-0.0476784625000115,,
1966-01-01,-0.9000000000000004,-0.0500377589367649,-0.0500377589367649,,
1966-02-01,-1.2999999999999998,-0.0666840719639911,-0.0666840719639911,,
1966-03-01,-0.9000000000000004,-0.0347073840169722,-0.0347073840169722,,
1966-04-01,-1.0,-0.0976763077892484,-0.0976763077892484,,
1966-05-01,-0.6999999999999997,-0.0962099122087024,-0.0962099122087024,,
1966-06-01,-0.7999999999999998,-0.0846736670166,-0.0846736670166,,
1966-07-01,-0.6000000000000005,-0.0954480401357298,-0.0954480401357298,,
1966-08-01,-0.6000000000000005,-0.1125182992716035,-0.1125182992716035,,
1966-09-01,-0.5999999999999996,-0.0937552590171274,-0.0937552590171274,,
1966-10-01,-0.5,-0.1382404582441059,-0.1382404582441059,,
1966-11-01,-0.4999999999999995,-0.1422402385388883,-0.1422402385388883,,
1966-12-01,-0.2000000000000001,-0.1550834116285357,-0.1550834116285357,,
1967-01-01,-0.1,-0.1859886162691289,-0.1859886162691289,,
1967-02-01,0.0,-0.1746956477632926,-0.1746956477632926,,
1967-03-01,0.0,-0.220355005261192,-0.220355005261192,,
1967-04-01,0.0,-0.195883109330945,-0.195883109330945,,
1967-05-01,-0.1,-0.2334730951983011,-0.2334730951983011,,
1967-06-01,0.1,-0.1975062762005381,-0.1975062762005381,,
1967-07-01,0.0,-0.2348683128336514,-0.2348683128336514,,
1967-08-01,0.0,-0.2176425946421235,-0.2176425946421235,,
1967-09-01,0.0999999999999996,-0.2194329107806941,-0.2194329107806941,,
1967-10-01,0.2999999999999998,-0.2354569730406736,-0.2354569730406736,,
1967-11-01,0.2999999999999998,-0.1987739672109065,-0.1987739672109065,,
1967-12-01,0.0,-0.2521567521588965,-0.2521567521588965,,
1968-01-01,-0.1999999999999997,-0.2258984406889116,-0.2258984406889116,,
1968-02-01,0.0,-0.2176151318968784,-0.2176151318968784,,
1968-03-01,-0.0999999999999996,-0.1847283730535483,-0.1847283730535483,,
1968-04-01,-0.2999999999999998,-0.2186774965402834,-0.2186774965402834,,
1968-05-01,-0.2999999999999998,-0.2027931941191919,-0.2027931941191919,,
1968-06-01,-0.1999999999999997,-0.212410875088687,-0.212410875088687,,
1968-07-01,-0.0999999999999996,-0.1836051392935083,-0.1836051392935083,,
1968-08-01,-0.2999999999999998,-0.1865386043733767,-0.1865386043733767,,
1968-09-01,-0.3999999999999999,-0.1982495498603894,-0.1982495498603894,,
1968-10-01,-0.6000000000000001,-0.1821089289729701,-0.1821089289729701,,
1968-11-01,-0.5,-0.1574549778760859,-0.1574549778760859,,
1968-12-01,-0.3999999999999999,-0.1597955213333402,-0.1597955213333402,,
1969-01-01,-0.3000000000000002,-0.1671839422782097,-0.1671839422782097,,
1969-02-01,-0.3999999999999999,-0.1791801062203891,-0.1791801062203891,,
1969-03-01,-0.3000000000000002,-0.1657853611793013,-0.1657853611793013,,
1969-04-01,-0.1,-0.1685247212684774,-0.1685247212684774,,
1969-05-01,-0.1,-0.1762797185731496,-0.1762797185731496,,
1969-06-01,-0.2000000000000001,-0.1843914529322644,-0.1843914529322644,,
1969-07-01,-0.2000000000000001,-0.1906030887744959,-0.1906030887744959,,
1969-08-01,0.0,-0.1800170454245532,-0.1800170454245532,,
1969-09-01,0.3000000000000002,-0.1935387575789872,-0.1935387575789872,,
1969-10-01,0.3000000000000002,-0.1819688051893732,-0.1819688051893732,,
1969-11-01,0.1,-0.1994699864968245,-0.1994699864968245,,
1969-12-01,0.1,-0.1940364771284057,-0.1940364771284057,,
1970-01-01,0.5,-0.2034080879592646,-0.2034080879592646,,
1970-02-01,0.8000000000000003,-0.1898149810678581,-0.1898149810678581,,
1970-03-01,1.0000000000000004,-0.2102669961078964,-0.2102669961078964,,
1970-04-01,1.1999999999999995,-0.2086435962689038,-0.2086435962689038,,
1970-05-01,1.4,-0.1954812254125407,-0.1954812254125407,,
1970-06-01,1.4000000000000004,-0.1946428580253603,-0.1946428580253603,,
1970-07-01,1.5,-0.1952873278226869,-0.1952873278226869,,
1970-08-01,1.5999999999999996,-0.195769967293484,-0.195769967293484,,
1970-09-01,1.7000000000000002,-0.1952086100499627,-0.1952086100499627,,
1970-10-01,1.7999999999999998,-0.1718991807698257,-0.1718991807698257,,
1970-11-01,2.4000000000000004,-0.1606567658698196,-0.1606567658698196,,
1970-12-01,2.6,-0.1700788074254534,-0.1700788074254534,,
1971-01-01,2.0000000000000004,-0.1833807438877643,-0.1833807438877643,,
1971-02-01,1.7000000000000002,-0.1424146102420179,-0.1424146102420179,,
1971-03-01,1.5999999999999996,-0.1155520553606603,-0.1155520553606603,,
1971-04-01,1.3000000000000007,-0.1070403332077755,-0.1070403332077755,,
1971-05-01,1.1000000000000003,-0.0792605793500757,-0.0792605793500757,,
1971-06-01,1.0,-0.0587533109975137,-0.0587533109975137,,
1971-07-01,1.0,-0.0371036715575152,-0.0371036715575152,,
1971-08-01,1.0,-0.0029906074247096,-0.0029906074247096,,
1971-09-01,0.5999999999999996,0.045367126098489,0.045367126098489,,
1971-10-01,0.2999999999999998,0.1165606287737009,0.1165606287737009,,
1971-11-01,0.0999999999999996,0.1245745738206194,0.1245745738206194,,
1971-12-01,-0.0999999999999996,0.3240385774061349,0.3240385774061349,,
1972-01-01,-0.1000000000000005,0.45588565144861,0.45588565144861,,
1972-02-01,-0.2000000000000001,0.2999963753300862,0.2999963753300862,,
1972-03-01,-0.2000000000000001,0.2621930382875314,0.2621930382875314,,
1972-04-01,-0.2000000000000001,0.2716602309864365,0.2716602309864365,,
1972-05-01,-0.2000000000000001,0.243745100704926,0.243745100704926,,
1972-06-01,-0.2000000000000001,0.1830995571625928,0.1830995571625928,,
1972-07-01,-0.4000000000000003,0.169075081617084,0.169075081617084,,
1972-08-01,-0.5,0.2117004354486759,0.2117004354486759,,
1972-09-01,-0.5,0.1751265512946434,0.1751265512946434,,
1972-10-01,-0.2000000000000001,0.1500940876047814,0.1500940876047814,,
1972-11-01,-0.7000000000000002,0.0907818135059772,0.0907818135059772,,
1972-12-01,-0.7999999999999998,0.0865408631875941,0.0865408631875941,,
1973-01-01,-0.8999999999999995,0.0457745785335384,0.0457745785335384,,
1973-02-01,-0.7000000000000002,0.0588671003595376,0.0588671003595376,,
1973-03-01,-0.8999999999999995,0.0393057475459284,0.0393057475459284,,
1973-04-01,-0.7000000000000002,0.0354138678176645,0.0354138678176645,,
1973-05-01,-0.7999999999999998,0.025719711267275,0.025719711267275,,
1973-06-01,-0.7999999999999998,0.0426147153216086,0.0426147153216086,,
1973-07-01,-0.7999999999999998,0.0344997387793681,0.0344997387793681,,
1973-08-01,-0.7999999999999998,0.0150990086273796,0.0150990086273796,,
1973-09-01,-0.7000000000000002,-0.0178111748277555,-0.0178111748277555,,
1973-10-01,-1.0,-0.0155351617762535,-0.0155351617762535,,
1973-11-01,-0.5,0.0196602464471407,0.0196602464471407,,
1973-12-01,-0.2999999999999998,-0.0563034517147792,-0.0563034517147792,,
1974-01-01,0.1999999999999993,-0.0640159205270651,-0.0640159205270651,,
1974-02-01,0.2000000000000001,-0.0733353641579005,-0.0733353641579005,,
1974-03-01,0.1999999999999993,-0.076209951634148,-0.076209951634148,,
1974-04-01,0.0999999999999996,-0.0822574199924236,-0.0822574199924236,,
1974-05-01,0.1999999999999993,-0.074362752351023,-0.074362752351023,,
1974-06-01,0.5,-0.0833039587487205,-0.0833039587487205,,
