feature,ratio_mean,ratio_std,n_windows
USREC_lag12,1.1430090541723634,0.009514538503545016,3
SP500_lag12,1.0328930312948517,0.01673428297908795,3
OILPRICEX_lag12,1.0065517669333486,0.004483193311818117,3
BUSLOANS_lag12,1.0018534039289115,0.001811268805629709,3
TB3MS_lag12,1.0002119830487672,0.003186976541816927,3
M2SL_lag12,1.0000058516279593,1.9281642647412716e-05,3
CPIAUCSL_lag12,0.9999862310352835,1.8404410277187483e-05,3
DPCERA3M086SBEA_lag12,0.9997144714153835,0.00034826787483668105,3
RPI_lag12,0.9995013485864302,0.0006517875142963773,3
INDPRO_lag12,0.9980065955336764,0.0024608263756748165,3
