feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0583843006918454,0.027903001223570256,2
BUSLOANS_lag12,1.0053731616008752,0.0051267378920936135,2
CPIAUCSL_lag12,0.9999494958198933,4.807070879864206e-05,2
M2SL_lag12,0.9999427059278844,5.630305434545235e-05,2
OILPRICEX_lag12,0.9997233383729885,0.0005839318905757063,2
RPI_lag12,0.9884606328883152,0.011121812685204735,2
INDPRO_lag12,0.9825515116749339,0.017030080046121,2
USREC_lag12,0.9811057795658735,0.08098258140156173,2
DPCERA3M086SBEA_lag12,0.9766987661643338,0.023024559779928788,2
SP500_lag12,0.9168621670242001,0.04980253114857114,2
