feature,ratio_mean,ratio_std,n_windows
TB3MS_lag12,1.0342620149726856,0.010848878381359471,3
USREC_lag12,1.0093747263468866,0.05961162102599418,3
OILPRICEX_lag12,1.000590771533103,0.0007224350968892973,3
INDPRO_lag12,1.0002055683695936,0.00023083428397313425,3
CPIAUCSL_lag12,0.9999986716244642,1.3708388879960764e-06,3
M2SL_lag12,0.9999899162554297,1.0026817296402446e-05,3
BUSLOANS_lag12,0.9999886383661384,8.710465947771167e-05,3
DPCERA3M086SBEA_lag12,0.9998749829317775,4.166799583371896e-05,3
RPI_lag12,0.9997879134433801,0.00015767976843101536,3
SP500_lag12,0.9816260026336239,0.011117546401588728,3
